City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,colares,38.7992,-9.4469,297.78,68,0,3.58,PT,1696190722
83,port alfred,-33.5906,26.891,289.12,67,47,7.0,ZA,1696190722
84,papao,-17.75,-149.55,300.97,84,9,9.09,PF,1696190722
85,tofol,5.3248,163.0078,301.57,75,16,3.05,FM,1696190722
86,tevriz,57.509,72.4042,278.09,97,10,2.26,RU,1696190722
87,fortuna,40.5982,-124.1573,292.23,69,0,5.14,US,1696190722
88,port lincoln,-34.7333,135.8667,285.27,81,0,4.3,AU,1696190723
89,selfoss,63.9331,-20.9971,281.51,67,100,4.74,IS,1696190723
90,mount isa,-20.7333,139.5,288.02,51,0,0.51,AU,1696190723
91,pandan,14.0453,124.1694,300.49,86,100,4.62,PH,1696190723
92,el prat de llobregat,41.3278,2.0947,297.12,79,40,3.09,ES,1696190723
93,puerto natales,-51.7236,-72.4875,276.4,87,40,9.26,CL,1696190652
94,safaga,26.7292,33.9365,303.5,43,37,9.18,EG,1696190723
95,nurota,40.5614,65.6886,286.63,41,0,1.85,UZ,1696190723
96,port alberni,49.2413,-124.8028,289.88,40,40,0.63,CA,1696190445
97,la passe,45.5549,-0.8967,296.28,55,12,2.66,FR,1696190724
98,nar'yan-mar,67.6713,53.087,283.77,96,100,3.58,RU,1696190724
99,avarua,-21.2078,-159.775,299.18,94,75,1.54,CK,1696190724
100,hadibu,12.65,54.0333,299.52,84,28,3.03,YE,1696190724
101,bafra,41.5678,35.9069,291.82,88,98,3.75,TR,1696190724
102,ankang,32.68,109.0172,288.63,95,100,1.67,CN,1696190724
103,harper,4.375,-7.7169,298.24,88,50,4.53,LR,1696190724
104,ilhabela,-23.7781,-45.3581,294.81,94,100,3.28,BR,1696190464
105,bozdar wada,27.1828,68.636,301.63,14,0,2.99,PK,1696190725
106,grand baie,-20.0182,57.5802,297.29,73,90,0.45,MU,1696190725
107,magadan,59.5667,150.8,275.83,85,100,0.89,RU,1696190600
108,tosontsengel,48.7567,98.2839,274.57,87,51,1.39,MN,1696190725
109,howrah,22.5892,88.3103,300.15,94,75,1.54,IN,1696190566
110,tiksi,71.6872,128.8694,264.63,92,61,2.56,RU,1696190725
111,okhotsk,59.3833,143.3,279.33,82,99,1.66,RU,1696190725
112,vorgashor,67.5833,63.95,281.55,98,100,5.96,RU,1696190725
113,whitehorse,60.7161,-135.0538,280.43,88,75,9.77,CA,1696190659
114,shenjiamen,29.9576,122.298,295.31,59,1,5.91,CN,1696190726
115,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,100,75,2.0,RU,1696190726
116,bintulu,3.1667,113.0333,297.38,100,20,1.54,MY,1696190726
117,northam,51.0333,-4.2167,290.03,98,98,2.3,GB,1696190726
118,jinghong,21.991,100.7341,294.16,99,30,0.61,CN,1696190726
119,gamay,12.3854,125.2979,300.09,86,100,4.13,PH,1696190726
